"","ZIPCODE","date","mains","TemperatureF","Lat","Long"
"1","94025",2012-02-04 00:00:00,0.769218540789422,40.9,37.45,-122.17
"2","94025",2012-02-04 01:00:00,2.47441877985253,39.7166666666667,37.45,-122.17
"3","94025",2012-02-04 02:00:00,3.05097236549002,38.6833333333333,37.45,-122.17
"4","94025",2012-02-04 03:00:00,2.72572468680049,37.75,37.45,-122.17
"5","94025",2012-02-04 04:00:00,1.74519880210822,36.9833333333333,37.45,-122.17
"6","94025",2012-02-04 05:00:00,1.51195745398979,36.35,37.45,-122.17
"7","94025",2012-02-04 06:00:00,1.38586739524123,35.5333333333333,37.45,-122.17
"8","94025",2012-02-04 07:00:00,1.0404664186873,34.95,37.45,-122.17
"9","94025",2012-02-04 08:00:00,1.12183917183946,35.7166666666667,37.45,-122.17
"10","94025",2012-02-04 09:00:00,1.20984126947473,46.8333333333333,37.45,-122.17
"11","94025",2012-02-04 10:00:00,1.02722888272944,52.85,37.45,-122.17
"12","94025",2012-02-04 11:00:00,0.725415088318727,56.0666666666667,37.45,-122.17
"13","94025",2012-02-04 12:00:00,0.723687760353234,58.5666666666667,37.45,-122.17
"14","94025",2012-02-04 13:00:00,0.744125647890791,61.2333333333333,37.45,-122.17
"15","94025",2012-02-04 14:00:00,0.747829183421803,62.7166666666667,37.45,-122.17
"16","94025",2012-02-04 15:00:00,0.722812132786425,63.3833333333333,37.45,-122.17
"17","94025",2012-02-04 16:00:00,0.698755798533072,62.5666666666667,37.45,-122.17
"18","94025",2012-02-04 17:00:00,0.760864359838877,59.7666666666667,37.45,-122.17
"19","94025",2012-02-04 18:00:00,1.3358889572245,53.5,37.45,-122.17
"20","94025",2012-02-04 19:00:00,2.10171796232526,48.9666666666667,37.45,-122.17
"21","94025",2012-02-04 20:00:00,0.864218340212265,46.5333333333333,37.45,-122.17
"22","94025",2012-02-04 21:00:00,1.3551978193628,44.2333333333333,37.45,-122.17
"23","94025",2012-02-04 22:00:00,0.76704493389451,42.7666666666667,37.45,-122.17
"24","94025",2012-02-04 23:00:00,0.583659230163594,41.3666666666667,37.45,-122.17
